ID,Date,Home,Away,Half_Status,Time,Game_Time,Game_Seconds,Home_Score,Away_Score,Event_Team,Event_Description,Player_1,Player_2,Event_Type,Event_Result,Shot_Value,Event_Length,Poss_Num,Poss_Team,Poss_Length,isTransition,Home.1,Home.2,Home.3,Home.4,Home.5,Away.1,Away.2,Away.3,Away.4,Away.5,Status,isGarbageTime,Sub_Deviate
4982542,NA,Duke,Coppin St.,1,17:52:00,02:08:00,128,2,7,Coppin St.,"Nendah Tarke, 3pt jumpshot 2ndchance;  missed",NENDAH.TARKE,NA,Three Point Jumper,missed,3,1,8,Coppin St.,15,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,17:49:00,02:11:00,131,2,7,Duke,"Jalen Johnson, rebound defensive",JALEN.JOHNSON,NA,Defensive Rebound,NA,NA,3,8,Coppin St.,18,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,17:36:00,02:24:00,144,4,7,Duke,"Wendell Moore Jr., 2pt layup pointsinthepaint;  made - Jalen Johnson, assist",WENDELL.MOORE,JALEN.JOHNSON,Layup,made,2,13,9,Duke,13,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,17:19:00,02:41:00,161,4,10,Coppin St.,"Koby Thomas, 3pt jumpshot   made - Anthony Tarke, assist",KOBY.THOMAS,ANTHONY.TARKE,Three Point Jumper,made,3,17,10,Coppin St.,17,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,17:05:00,02:55:00,175,6,10,Duke,"Matthew Hurt, 2pt dunk pointsinthepaint;  made - Jordan Goldwire, assist",MATTHEW.HURT,JORDAN.GOLDWIRE,Dunk,made,2,14,11,Duke,14,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:53:00,03:07:00,187,6,10,Coppin St.,"Kenan Sarvan, 3pt jumpshot   missed",KENAN.SARVAN,NA,Three Point Jumper,missed,3,12,12,Coppin St.,12,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:50:00,03:10:00,190,6,10,Duke,"Jalen Johnson, rebound defensive",JALEN.JOHNSON,NA,Defensive Rebound,NA,NA,3,12,Coppin St.,15,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:40:00,03:20:00,200,6,10,Duke,"Matthew Hurt, 2pt pullupjumpshot pointsinthepaint;  missed",MATTHEW.HURT,NA,Two Point Jumper,missed,2,10,13,Duke,10,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:38:00,03:22:00,202,6,10,Duke,"Jalen Johnson, rebound offensive",JALEN.JOHNSON,NA,Offensive Rebound,NA,NA,2,13,Duke,12,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:36:00,03:24:00,204,6,10,Duke,"Jordan Goldwire, 3pt jumpshot 2ndchance;  missed",JORDAN.GOLDWIRE,NA,Three Point Jumper,missed,3,2,13,Duke,14,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
